------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
Mesocosm version,V2.04
------------------------------,--------------------
Role,Master
ID,1
------------------------------,--------------------
Day,Time,Relays state,Target,TMH_0,TMH_1,TMH_2,TSH1_0,TSH1_1,TSH1_2,TV1_0,TV1_1,TV1_2 
10/01/2025,0:0:55,1,25.92,6.75,6.62,6.87,6.81,6.50,7.12,24.37,24.00,24.75
10/01/2025,0:1:55,1,25.80,6.75,6.62,6.87,6.81,6.50,7.12,24.25,23.75,24.75
10/01/2025,0:2:55,1,25.86,6.75,6.62,6.87,6.81,6.50,7.12,24.31,23.87,24.75
10/01/2025,0:3:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:4:55,1,25.92,6.75,6.62,6.87,6.81,6.50,7.12,24.37,24.00,24.75
10/01/2025,0:5:55,1,25.92,6.75,6.62,6.87,6.81,6.50,7.12,24.37,23.87,24.87
10/01/2025,0:6:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:7:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:8:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:9:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:10:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:11:55,1,26.11,6.81,6.75,6.87,6.87,6.62,7.12,24.56,24.12,25.00
10/01/2025,0:12:55,1,26.05,6.75,6.62,6.87,6.81,6.50,7.12,24.50,24.00,25.00
10/01/2025,0:13:55,1,26.17,6.75,6.62,6.87,6.87,6.62,7.12,24.62,24.25,25.00
10/01/2025,0:14:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.00,25.00
10/01/2025,0:15:55,1,26.11,6.75,6.62,6.87,6.87,6.62,7.12,24.56,24.12,25.00
10/01/2025,0:16:55,1,26.17,6.75,6.62,6.87,6.87,6.62,7.12,24.62,24.25,25.00
10/01/2025,0:17:55,1,26.05,6.75,6.62,6.87,6.81,6.50,7.12,24.50,24.00,25.00
10/01/2025,0:18:55,1,26.11,6.75,6.62,6.87,6.87,6.62,7.12,24.56,24.12,25.00
10/01/2025,0:19:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:20:55,1,26.11,6.75,6.62,6.87,6.87,6.62,7.12,24.56,24.12,25.00
10/01/2025,0:21:55,1,26.11,6.75,6.62,6.87,6.87,6.62,7.12,24.56,24.25,24.87
10/01/2025,0:22:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:23:55,1,26.11,6.75,6.62,6.87,6.87,6.62,7.12,24.56,24.25,24.87
10/01/2025,0:24:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:25:55,1,25.86,6.81,6.75,6.87,6.87,6.62,7.12,24.31,23.87,24.75
10/01/2025,0:26:55,1,25.98,6.75,6.62,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:27:55,1,25.92,6.75,6.62,6.87,6.87,6.62,7.12,24.37,23.87,24.87
10/01/2025,0:28:55,1,25.98,6.75,6.62,6.87,6.81,6.50,7.12,24.43,24.12,24.75
10/01/2025,0:29:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:30:55,1,25.98,6.81,6.75,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:31:55,1,25.92,6.75,6.62,6.87,6.87,6.62,7.12,24.37,23.87,24.87
10/01/2025,0:32:55,1,26.05,6.75,6.62,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:33:55,1,26.05,6.75,6.62,6.87,6.81,6.50,7.12,24.50,24.12,24.87
10/01/2025,0:34:55,1,25.92,6.75,6.62,6.87,6.81,6.50,7.12,24.37,23.75,25.00
10/01/2025,0:35:55,1,25.98,6.81,6.75,6.87,6.87,6.62,7.12,24.43,24.00,24.87
10/01/2025,0:36:55,1,26.05,6.81,6.75,6.87,6.75,6.50,7.00,24.50,24.12,24.87
10/01/2025,0:37:55,1,26.05,6.81,6.75,6.87,6.81,6.50,7.12,24.50,24.12,24.87
10/01/2025,0:38:55,1,26.05,6.81,6.75,6.87,6.87,6.62,7.12,24.50,24.12,24.87
10/01/2025,0:39:55,1,26.11,6.81,6.75,6.87,6.81,6.50,7.12,24.56,24.12,25.00
10/01/2025,0:40:55,1,25.98,6.75,6.62,6.87,6.81,6.50,7.12,24.43,24.00,24.87
10/01/2025,0:41:55,1,26.05,6.75,6.62,6.87,6.81,6.50,7.12,24.50,24.12,24.87
10/01/2025,0:42:55,1,26.05,6.81,6.75,6.87,6.81,6.50,7.12,24.50,24.12,24.87
10/01/2025,0:43:55,1,26.11,6.81,6.75,6.87,6.81,6.50,7.12,24.56,24.25,24.87
10/01/2025,0:44:55,1,26.11,6.75,6.62,6.87,6.75,6.50,7.00,24.56,24.25,24.87
10/01/2025,0:45:55,1,26.05,6.81,6.75,6.87,6.75,6.50,7.00,24.50,24.00,25.00
10/01/2025,0:46:55,1,25.98,6.75,6.62,6.87,6.75,6.50,7.00,24.43,24.00,24.87
10/01/2025,0:47:55,1,25.80,6.81,6.75,6.87,6.75,6.50,7.00,24.25,23.62,24.87
10/01/2025,0:48:55,1,25.80,6.75,6.62,6.87,6.75,6.50,7.00,24.25,23.75,24.75
10/01/2025,0:49:55,1,25.98,6.75,6.62,6.87,6.75,6.50,7.00,24.43,24.00,24.87
10/01/2025,0:50:55,1,25.86,6.75,6.62,6.87,6.75,6.50,7.00,24.31,23.75,24.87
10/01/2025,0:51:55,1,25.67,6.75,6.62,6.87,6.75,6.50,7.00,24.12,23.50,24.75
10/01/2025,0:52:55,1,25.80,6.75,6.62,6.87,6.75,6.50,7.00,24.25,23.62,24.87
10/01/2025,0:53:55,1,25.73,6.75,6.62,6.87,6.75,6.50,7.00,24.18,23.50,24.87
10/01/2025,0:54:55,1,25.61,6.75,6.62,6.87,6.75,6.50,7.00,24.06,23.37,24.75
10/01/2025,0:55:55,1,25.61,6.75,6.62,6.87,6.68,6.37,7.00,24.06,23.37,24.75
10/01/2025,0:56:55,1,25.61,6.75,6.62,6.87,6.75,6.50,7.00,24.06,23.37,24.75
10/01/2025,0:57:55,1,25.55,6.75,6.62,6.87,6.68,6.37,7.00,24.00,23.25,24.75
10/01/2025,0:58:55,1,25.42,6.75,6.62,6.87,6.68,6.37,7.00,23.87,23.25,24.50
10/01/2025,0:59:55,1,25.48,6.75,6.62,6.87,6.75,6.50,7.00,23.93,23.25,24.62
10/01/2025,1:0:55,1,25.48,6.75,6.62,6.87,6.68,6.37,7.00,23.93,23.25,24.62
10/01/2025,1:1:55,1,25.42,6.75,6.62,6.87,6.62,6.37,6.87,23.87,23.25,24.50
10/01/2025,1:2:55,1,25.48,6.81,6.75,6.87,6.62,6.37,6.87,23.93,23.25,24.62
10/01/2025,1:3:55,1,25.36,6.81,6.75,6.87,6.62,6.37,6.87,23.81,23.12,24.50
10/01/2025,1:4:55,1,25.36,6.81,6.75,6.87,6.68,6.37,7.00,23.81,23.12,24.50
10/01/2025,1:5:55,1,25.42,6.81,6.75,6.87,6.62,6.37,6.87,23.87,23.25,24.50
10/01/2025,1:6:55,1,25.42,6.81,6.75,6.87,6.68,6.50,6.87,23.87,23.25,24.50
10/01/2025,1:7:55,1,25.42,6.87,6.75,7.00,6.62,6.37,6.87,23.87,23.25,24.50
10/01/2025,1:8:55,1,25.42,6.87,6.75,7.00,6.62,6.37,6.87,23.87,23.25,24.50
